#START7777
#--------------------------------------------------------------------------------------------------
#  WD1    : 1분 평균 풍향 (degree) : 0-N, 90-E, 180-S, 270-W, 360-무풍 
#  WS1    : 1분 평균 풍속 (m/s) 
#  WDS    : 최대 순간 풍향 (degree) 
#  WSS    : 최대 순간 풍속 (m/s) 
#  WD10   : 10분 평균 풍향 (degree) 
#  WS10   : 10분 평균 풍속 (m/s) 
#  TA     : 1분 평균 기온 (C) 
#  RE     : 강수감지 (0-무강수, 0이 아니면-강수) 
#  RN-15m : 15분 누적 강수량 (mm) 
#  RN-60m : 60분 누적 강수량 (mm) 
#  RN-12H : 12시간 누적 강수량 (mm) 
#  RN-DAY : 일 누적 강수량 (mm) 
#  HM     : 1분 평균 상대습도 (%) 
#  PA     : 1분 평균 현지기압 (hPa) 
#  PS     : 1분 평균 해면기압 (hPa) 
#  TD     : 이슬점온도 (C) 
#  *) -50 이하면 관측이 없거나, 에러처리된 것을 표시 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202508092148    90  211.0    1.5  213.0    1.6  209.4    0.9   23.6    0.0    0.0    0.0    0.0    0.0   93.4 1001.2 1003.2   22.5
202508092148    92  250.0    1.5  270.0    1.9  230.0    1.7   22.1  -99.7    0.0    0.0    0.0    0.0   91.0  995.7 1003.3   20.6
202508092148    93  320.8    0.2  343.3    0.3  308.0    0.1   21.2    0.0    0.0    0.0    0.0    0.0   92.3  993.6 1004.6   19.9
202508092148    95  347.8    0.3  332.1    0.4  353.4    0.3   20.1    0.0    0.0    0.0    0.0    0.0   97.0  987.0 1004.9   19.6
202508092148    96  230.4    1.2  222.6    3.0  208.0    1.4   24.6    0.0    0.0    0.0    0.0    0.0   72.4  993.1 1004.3   19.3
202508092148    98   20.6    0.4   30.8    0.5   54.5    0.5   21.1    0.0    0.0    0.0    0.1    0.1   87.4  991.0 1004.3   18.9
202508092148    99  169.7    0.7  154.8    0.9  175.1    0.9   20.7    0.0    0.0    0.0    0.0    0.0   97.5 1001.0 1004.5   20.3
202508092148   100  259.7    1.3  247.6    1.5  270.3    1.4   17.5    0.0    0.0    0.0    0.0    0.0   86.7  919.7 1005.8   15.3
202508092148   101  334.7    1.1  319.0    1.4  299.3    0.9   21.3    0.0    0.0    0.0    0.0    0.0   86.3  995.2 1003.9   18.9
202508092148   102  339.7    2.2  337.7    2.5  338.2    2.1   22.0    0.0    0.0    0.0    0.0    0.1   84.4  999.1 1003.2   19.3
202508092148   104  267.0    0.0  302.5    0.1  275.7    0.3   22.2    0.0    0.0    0.0    0.0    0.0   81.9  993.7 1002.3   19.0
202508092148   105  240.7    2.0  237.1    2.8  247.8    2.2   24.2    0.0    0.0    0.0    0.0    0.0   69.0 1000.2 1003.3   18.2
202508092148   106  224.0    1.6  227.0    1.7  235.2    1.4   24.1    0.0    0.0    0.0    0.0    1.7   57.2  998.8 1003.4   15.1
202508092148   108   25.4    1.1   20.1    1.3   35.0    1.0   24.2    0.0    0.0    0.0    2.8    3.5   77.6  993.3 1003.0   20.0
202508092148   110  290.0    0.9  300.0    1.0  280.0    0.8   22.9  -99.7    0.0    0.0    1.3    1.8   95.0 1002.2 1004.3   22.1
202508092148   112  241.7    0.2  266.7    0.5  277.8    1.0   25.3    0.0    0.0    0.0    0.0    0.0   82.4  996.0 1003.8   22.1
202508092148   113   70.0    1.1   70.0    1.3   60.0    1.1   24.4  -99.7    0.0    0.0    0.0    0.0   88.0 1003.5 1004.3   22.3
202508092148   114  119.0    1.0  114.6    1.3  115.7    0.8   21.6    0.0    0.0    0.0    0.0    0.2   77.4  986.4 1003.5   17.5
202508092148   115  223.7    2.4  223.4    2.8  222.4    2.5   24.5    0.0    0.0    0.0    0.1    0.1   86.6  978.9 1003.8   22.1
202508092148   116  236.0    0.4  251.0    0.9  222.5    0.5   21.4    0.0    0.0    0.0    0.0    0.0   82.1  935.1 1004.3   18.2
202508092148   119  320.6    0.8  320.6    0.8  319.6    0.8   22.7    0.0    0.0    0.0    0.0    0.4   78.6  999.5 1004.1   18.8
202508092148   121   78.2    0.9   72.6    1.1   70.0    0.7   19.6    0.0    0.0    0.0    0.0    0.0   92.3  977.3 1004.8   18.3
202508092148   127   89.8    1.2   76.0    1.5   79.7    1.2   21.7    0.0    0.0    0.0    0.2    0.2   79.8  990.2 1003.3   18.1
202508092148   129  347.2    0.0    0.0    0.0    0.0    0.0   23.5    0.0    0.0    0.0    0.1    0.6   89.8 1000.8 1003.7   21.7
202508092148   130  263.1    1.3  285.9    1.6  269.8    1.3   23.0    0.0    0.0    0.0    0.0    0.0   76.9  997.9 1003.5   18.7
202508092148   131   64.8    1.8   78.8    2.2   55.1    1.8   24.0    0.0    0.0    0.0    0.3    0.3   76.2  996.7 1003.4   19.6
202508092148   133  337.5    1.5   62.6    2.0  338.1    1.5   23.4    0.0    0.0    0.0    0.8    0.8   94.6  996.0 1003.7   22.5
202508092148   135  173.3    0.0  166.0    0.0  237.2    0.1   21.5    0.0    0.0    0.0    1.3    1.4   93.9  976.0 1003.8   20.5
202508092148   136   91.9    1.1   78.8    1.3   76.7    0.6   22.2    0.0    0.0    0.0    2.2    2.2   92.8  988.6 1004.7   21.0
202508092148   137    3.3    0.8  343.3    1.8  346.9    0.9   22.6    0.0    0.0    0.0    1.3    1.8   95.4  992.1 1003.1   21.8
202508092148   138  298.5    1.9  319.3    2.7  300.6    1.6   23.4    0.0    0.0    0.5    3.0    3.0   89.9 1003.5 1004.0   21.6
202508092148   140  118.0    1.7  100.9    2.0  110.9    1.7   23.6    0.0    0.0    0.0    1.0    1.0   87.9 1000.8 1004.0   21.5
202508092148   143  348.6    1.3  342.5    1.9  332.3    1.1   22.9    0.0    0.0    0.0    1.1    1.1   89.2  997.8 1004.0   21.0
202508092148   146  115.4    0.5  130.9    1.1  139.0    1.1   23.5    0.0    0.0    0.0    0.2    0.2   86.1  996.8 1003.7   21.0
202508092148   151   10.0    2.5   10.0    2.9  360.0    2.4   22.1  -99.7    0.0    0.0    2.0    2.0   95.0 1003.6 1004.6   21.3
202508092148   152  342.2    2.4  342.2    2.4  327.5    1.5   21.4    0.0    0.0    0.1    2.1    2.1   94.4  994.5 1003.8   20.5
202508092148   155  257.0    1.2  266.0    1.7  252.8    1.0   22.2    0.0    0.1    0.1    5.1    5.1   97.3  999.9 1003.9   21.8
