#START7777
# YYMMDDHHMI   STN     TA     HM     TD     TG     TS TE0.05  TE0.1  TE0.2  TE0.3  TE0.5  TE1.0  TE1.5  TE3.0  TE5.0     PA     PS
#        KST    ID      C      %      C      C      C      C      C      C      C      C      C      C      C      C    hPa    hPa
202508092243    90   23.3   94.7   22.4   22.7   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.0 1003.0
202508092243    92   22.0   81.0   18.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  995.4 1002.9
202508092243    93   20.8   91.4   19.3   19.6   22.8   25.1   27.2   28.2   28.6   28.7   28.0   25.7   21.0   18.1  993.6 1004.6
202508092243    95   20.0   89.8   18.3   19.2   22.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  987.1 1005.0
202508092243    96   24.4   83.4   21.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.8 1004.0
202508092243    98   20.1   96.7   19.6   18.6   21.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  991.0 1004.3
202508092243    99   19.9   99.3   19.8   20.0   23.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.1 1004.6
202508092243   100   16.6   90.1   15.0   14.7   17.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  919.6 1006.0
202508092243   101   20.9   86.8   18.6   19.0   23.2   26.4   27.3   28.0   28.7   28.6   26.5   24.1   19.6   16.0  995.3 1004.0
202508092243   102   21.5   86.1   19.1   19.8   23.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.0 1003.1
202508092243   104   22.3   79.1   18.5   19.0   22.3   26.0   26.8   27.7   27.6   27.3   25.8   23.9   18.3   14.6  993.6 1002.2
202508092243   105   23.8   69.1   17.8   20.1   21.4   25.1   25.8   26.7   27.7   27.6   26.9   24.5   18.9   16.3 1000.1 1003.2
202508092243   106   21.8   69.7   16.0   19.0   21.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.7 1003.3
202508092243   108   23.6   79.1   19.8   20.2   23.0   24.5   25.3   25.8   25.9   27.4   26.1   25.1   19.9   16.7  993.1 1002.8
202508092243   110   22.1  100.0   22.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1002.1 1004.1
202508092243   112   24.9   83.6   21.9   21.0   24.4   26.3   26.5   26.7   27.0   26.5   25.7   23.6   19.2   15.3  995.8 1003.6
202508092243   113   24.0   87.0   21.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1003.4 1004.2
202508092243   114   21.2   76.5   16.9   17.0   21.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  986.6 1003.8
202508092243   115   24.2   87.9   22.1   22.1   23.0   24.7   25.1   26.1   25.7   24.6   22.7   21.1   16.3   13.9  978.8 1003.7
202508092243   116   20.4   92.2   19.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  934.8 1004.3
202508092243   119   21.9   86.9   19.6   20.5   22.7   26.0   26.6   27.3   27.4   27.1   25.7   23.6   18.3   14.7  999.1 1003.7
202508092243   121   18.9   93.4   17.8   17.7   21.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  977.7 1005.3
202508092243   127   21.2   84.9   18.6   21.2   23.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  990.3 1003.5
202508092243   129   23.2   90.5   21.6   22.4   25.0   25.3   25.9   26.4   26.4   26.5   25.0   24.2   18.3   17.3 1000.4 1003.3
202508092243   130   22.7   77.2   18.5   20.3   23.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.8 1003.4
202508092243   131   23.8   76.2   19.4   23.8   24.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.6 1003.3
202508092243   133   23.4   93.6   22.3   23.5   24.6   27.1   27.7   28.3   28.5   28.8   28.2   26.2   21.6   17.9  995.7 1003.4
202508092243   135   21.6   94.1   20.6   22.6   23.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  975.8 1003.6
202508092243   136   22.0   94.5   21.1   22.2   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  988.5 1004.6
202508092243   137   22.6   93.6   21.5   22.3   24.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.0 1003.0
202508092243   138   23.2   86.0   20.7   22.2   24.8   26.8   27.3   27.9   27.9   27.1   24.7   23.2   19.1   16.7 1003.1 1003.6
202508092243   140   23.6   89.4   21.8   22.4   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.2 1003.4
202508092243   143   22.5   90.2   20.8   22.5   23.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.5 1003.7
202508092243   146   23.5   86.8   21.2   23.2   24.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.0 1002.9
202508092243   151   22.2   95.0   21.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1003.5 1004.5
202508092243   152   21.4   93.8   20.4   21.9   24.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  994.5 1003.8
202508092243   155   22.6   96.9   22.1   24.2   24.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.7 1003.7
202508092243   156   21.9   94.5   21.0   24.4   24.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  994.6 1002.6
202508092243   159   22.5   88.8   20.6   21.3   24.1   25.5   25.0   25.5   25.8   27.9   26.5   24.9   19.5   18.2  995.6 1003.6
202508092243   160   19.3   99.9   19.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.9
202508092243   162   22.0   96.5   21.4   22.7   23.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.6 1003.2
202508092243   163   23.1   96.0   22.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.9 1002.0
202508092243   165   23.4  100.0   23.4   23.3   24.8   26.2   26.6   26.7   27.1   27.2   26.7   24.4   20.6   17.4  996.6 1001.7
202508092243   167   22.4   95.0   21.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1002.8 1003.8
202508092243   168   22.5   93.0   21.3   22.3   24.8   24.7   25.4   26.9   27.4   28.5   27.3   24.7   19.5   17.3  996.2 1003.7
202508092243   169   25.6   98.5   25.3   25.0   25.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  991.6 1000.1
202508092243   170   23.4   96.4   22.8   23.7   23.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.0 1003.0
202508092243   172   22.0   97.1   21.5   22.5   23.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.2 1002.2
202508092243   174   20.7   97.7   20.3   21.9   24.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  983.6 1002.5
202508092243   175   22.3   99.9   22.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  949.5 1002.8
202508092243   177   23.4   87.2   21.2   22.6   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.2 1002.4
202508092243   181   22.3   91.2   20.8   22.0   24.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.0 1003.9
202508092243   182   27.5   87.0   25.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.2 1003.0
202508092243   184   27.6   85.8   25.0   26.9   27.3   29.5   30.7   30.8   30.5   30.2   28.8   28.0   25.3   19.7 1000.0 1002.3
202508092243   185   26.5   94.7   25.6   26.1   27.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  994.8 1002.8
202508092243   188   27.7   95.7   27.0   27.0   27.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.1 1003.4
202508092243   189   28.0   91.6   26.5   27.3   27.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.6 1003.4
202508092243   192   20.0   96.1   19.4   23.5   24.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.6 1004.0
202508092243   201   20.4   94.9   19.6   19.8   21.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.1 1004.6
202508092243   202   22.1   92.5   20.8   20.7   24.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.1 1004.5
202508092243   203   20.8   96.1   20.2   19.4   21.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.0 1005.2
202508092243   211   20.8   93.8   19.8   18.5  -99.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  981.0 1004.1
202508092243   212   21.7   91.4   20.2   19.8   22.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  988.7 1004.7
202508092243   216   15.8   93.5   14.8   15.6   18.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  925.1 1005.5
202508092243   217   18.7   91.1   17.2   20.4   23.3   24.7   26.8   26.4   26.8  -99.7  -99.7  -99.7  -99.7  -99.7  969.4 1005.1
202508092243   221   18.4   99.2   18.3   17.9   21.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  974.5 1004.9
202508092243   226   21.8   97.1   21.3   21.8   24.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  984.4 1003.9
202508092243   229   23.8   80.8   20.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  990.3 1002.2
202508092243   230   19.7   86.4   17.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1003.2 1004.6
202508092243   232   21.2   96.6   20.6   21.2   24.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  994.4 1004.1
202508092243   235   23.3   93.0   22.1   23.8   25.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.1 1002.2
202508092243   236   23.0   93.1   21.8   22.4   24.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.7 1003.2
202508092243   238   23.2   98.9   23.0   23.0   24.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  983.6 1003.2
202508092243   239   23.0   89.2   21.1   22.9   25.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  993.1 1003.3
202508092243   243   23.6   88.8   21.6   23.5   24.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.2 1002.6
202508092243   244   21.4   96.7   20.9   22.3   23.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  974.9 1002.9
