latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
33.79801,130.99455,333.92,0.41,0.37,2025-08-15,1308,N20,VIIRS,n,2.0NRT,300.78,1.54,D
33.94296,130.82962,334.66,0.41,0.37,2025-08-15,1308,N20,VIIRS,n,2.0NRT,303.56,3.76,D
34.75711,126.44044,334.55,0.4,0.45,2025-08-15,1308,N20,VIIRS,n,2.0NRT,304.46,8.24,D
34.8489,127.68853,341.72,0.53,0.42,2025-08-15,1308,N20,VIIRS,n,2.0NRT,302.77,8.77,D
35.1394,126.79404,332.0,0.57,0.43,2025-08-15,1308,N20,VIIRS,n,2.0NRT,300.36,3.41,D
35.1433,126.79286,332.67,0.57,0.43,2025-08-15,1308,N20,VIIRS,l,2.0NRT,302.95,7.89,D
35.21159,126.80975,330.56,0.57,0.43,2025-08-15,1308,N20,VIIRS,l,2.0NRT,304.5,7.75,D
35.27711,128.77432,330.0,0.47,0.39,2025-08-15,1308,N20,VIIRS,l,2.0NRT,304.01,9.06,D
35.29281,128.315,330.35,0.49,0.4,2025-08-15,1308,N20,VIIRS,l,2.0NRT,304.82,6.17,D
35.66172,128.39948,337.81,0.48,0.4,2025-08-15,1308,N20,VIIRS,n,2.0NRT,301.71,7.16,D
35.73105,128.46393,329.76,0.47,0.4,2025-08-15,1308,N20,VIIRS,l,2.0NRT,303.68,5.17,D
35.73204,128.46915,330.71,0.47,0.4,2025-08-15,1308,N20,VIIRS,l,2.0NRT,303.91,5.17,D
35.79077,128.44136,332.37,0.47,0.4,2025-08-15,1308,N20,VIIRS,n,2.0NRT,301.23,3.63,D
35.89399,128.56502,333.69,0.46,0.39,2025-08-15,1308,N20,VIIRS,n,2.0NRT,302.21,7.01,D
35.9273,128.4221,331.61,0.47,0.4,2025-08-15,1308,N20,VIIRS,n,2.0NRT,301.03,2.64,D
36.02845,129.39757,333.41,0.43,0.38,2025-08-15,1308,N20,VIIRS,n,2.0NRT,302.62,4.4,D
