latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
33.04271,129.92801,330.6,0.39,0.36,2025-08-14,1325,N20,VIIRS,n,2.0NRT,299.72,2.05,D
33.58555,130.44267,331.48,0.41,0.37,2025-08-14,1325,N20,VIIRS,l,2.0NRT,302.14,1.57,D
33.76161,130.63466,331.43,0.41,0.37,2025-08-14,1325,N20,VIIRS,l,2.0NRT,304.36,4.65,D
34.91341,127.75406,344.21,0.38,0.36,2025-08-14,1327,N20,VIIRS,n,2.0NRT,302.73,6.84,D
34.91862,127.76581,331.63,0.38,0.36,2025-08-14,1327,N20,VIIRS,n,2.0NRT,300.76,7.09,D
34.91927,127.76997,339.62,0.38,0.36,2025-08-14,1327,N20,VIIRS,n,2.0NRT,302.24,10.46,D
34.92459,127.73856,339.08,0.38,0.36,2025-08-14,1327,N20,VIIRS,n,2.0NRT,304.08,6.88,D
35.06722,128.06898,330.88,0.38,0.36,2025-08-14,1327,N20,VIIRS,l,2.0NRT,304.22,5.3,D
35.08312,128.76929,335.54,0.39,0.36,2025-08-14,1327,N20,VIIRS,l,2.0NRT,306.26,4.5,D
35.08374,128.7735,341.16,0.39,0.36,2025-08-14,1327,N20,VIIRS,n,2.0NRT,304.15,4.5,D
35.09501,128.82755,331.47,0.39,0.36,2025-08-14,1327,N20,VIIRS,l,2.0NRT,303.35,7.41,D
35.09661,128.86203,344.99,0.39,0.36,2025-08-14,1327,N20,VIIRS,n,2.0NRT,304.24,7.62,D
35.1296,128.85489,335.41,0.39,0.36,2025-08-14,1327,N20,VIIRS,n,2.0NRT,304.69,5.35,D
35.13598,128.87531,336.23,0.39,0.36,2025-08-14,1327,N20,VIIRS,n,2.0NRT,302.52,6.4,D
35.16966,128.13771,336.36,0.38,0.36,2025-08-14,1327,N20,VIIRS,n,2.0NRT,302.6,1.79,D
35.36966,129.05936,330.41,0.39,0.36,2025-08-14,1327,N20,VIIRS,l,2.0NRT,304.05,4.98,D
35.46938,129.33577,333.9,0.4,0.37,2025-08-14,1327,N20,VIIRS,n,2.0NRT,302.62,4.11,D
35.6611,128.40007,334.15,0.39,0.36,2025-08-14,1327,N20,VIIRS,l,2.0NRT,306.18,7.54,D
35.96678,128.42192,331.23,0.39,0.36,2025-08-14,1327,N20,VIIRS,l,2.0NRT,304.8,4.78,D
36.00072,129.37843,338.54,0.4,0.37,2025-08-14,1327,N20,VIIRS,n,2.0NRT,304.02,5.23,D
