TIME,STN,TA,HM,TD,TG,TS,TE0.05,TE0.1,TE0.2,TE0.3,TE0.5,TE1.0,TE1.5,TE3.0,TE5.0,PA,PS
202508192347,90,30.4,55.4,20.5,28.5,25.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1006.1,1008.1
202508192347,92,29.2,60.0,20.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1001.2,1008.6
202508192347,93,24.5,92.2,23.2,23.0,25.7,28.0,29.3,29.5,29.2,28.6,27.1,25.5,22.7,19.0,1000.3,1011.2
202508192347,95,25.7,92.0,24.3,24.7,26.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,993.7,1011.3
202508192347,96,27.2,94.5,26.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,998.9,1010.1
202508192347,98,25.8,98.5,25.5,24.5,26.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,997.8,1010.9
202508192347,99,24.6,99.3,24.5,24.7,27.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1007.8,1011.3
202508192347,100,22.7,88.7,20.7,20.8,21.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,926.2,1011.1
202508192347,101,25.2,85.2,22.5,23.0,26.0,29.5,30.0,30.1,29.7,28.4,26.2,24.6,20.2,16.3,1001.8,1010.4
202508192347,102,26.6,91.1,25.0,26.2,25.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1004.2,1008.3
202508192347,104,29.5,64.1,22.0,27.0,25.6,28.5,28.8,29.1,28.7,28.2,25.6,23.7,19.0,15.0,998.9,1007.3
202508192347,105,30.6,57.3,21.2,26.4,26.8,28.9,29.1,29.8,30.0,28.8,27.0,24.0,19.1,16.3,1005.3,1008.3
202508192347,106,28.2,66.2,21.3,22.9,25.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1004.5,1009.1
202508192347,108,28.1,78.6,24.0,25.5,26.4,27.3,26.2,23.9,22.7,27.9,25.8,25.4,21.4,17.4,1000.2,1009.9
202508192347,110,27.2,100.0,27.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1009.3,1011.3
202508192347,112,27.3,91.9,25.9,25.6,27.4,28.1,28.2,28.2,27.6,26.6,25.4,23.7,20.4,16.1,1003.0,1010.8
202508192347,113,27.3,91.0,25.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1010.5,1011.3
202508192347,114,26.1,83.8,23.1,23.3,25.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,993.5,1010.5
202508192347,115,28.8,72.4,23.3,26.2,26.3,27.1,27.5,27.8,26.7,25.8,22.8,21.3,16.6,14.2,984.3,1008.9
202508192347,116,23.2,99.4,23.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,942.2,1011.5
202508192347,119,26.4,87.3,24.1,24.4,26.0,28.6,28.9,28.8,28.5,28.0,25.6,23.8,19.2,15.1,1006.6,1011.1
202508192347,121,23.4,96.9,22.9,22.4,25.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,984.3,1011.6
202508192347,127,24.6,91.9,23.2,23.2,25.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,997.6,1010.7
202508192347,129,26.8,95.8,26.1,25.7,27.6,28.1,28.5,28.8,28.3,27.8,25.3,24.6,19.0,17.7,1008.4,1011.3
202508192347,130,29.7,62.8,21.9,27.2,28.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1003.8,1009.3
202508192347,131,28.0,74.7,23.1,25.8,27.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1004.4,1011.0
202508192347,133,27.0,85.6,24.4,25.0,27.6,31.2,31.4,31.4,30.9,29.9,28.0,26.0,22.1,18.3,1004.0,1011.7
202508192347,135,25.2,81.7,21.9,24.3,25.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,983.7,1011.3
202508192347,136,27.0,80.0,23.3,25.3,26.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,995.5,1011.4
202508192347,137,27.3,74.7,22.4,24.1,27.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,999.4,1010.3
202508192347,138,29.4,68.4,23.0,27.5,29.0,29.9,30.1,29.7,28.9,27.4,24.8,23.5,19.8,17.0,1009.8,1010.2
202508192347,140,25.8,87.0,23.5,23.9,26.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1009.2,1012.4
202508192347,143,28.9,70.3,23.0,28.5,30.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1004.6,1010.7
202508192347,146,26.9,83.9,23.9,24.7,26.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1004.8,1011.7
202508192347,151,27.4,79.0,23.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1010.3,1011.2
202508192347,152,27.1,74.9,22.3,26.3,27.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1001.3,1010.5
202508192347,155,27.2,84.7,24.4,24.9,26.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1007.7,1011.7
202508192347,156,27.1,81.8,23.7,26.3,26.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1004.1,1012.1
202508192347,159,27.4,81.8,24.0,24.6,27.1,28.8,28.0,27.9,27.8,28.6,26.5,25.2,20.2,18.6,1003.4,1011.3
202508192347,160,23.1,99.9,23.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.9
202508192347,162,26.7,89.7,24.9,25.8,27.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1008.0,1011.6
202508192347,163,27.0,85.0,24.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1010.8,1011.9
202508192347,165,27.1,88.3,25.0,24.7,27.3,28.7,28.3,28.5,28.6,28.9,26.6,24.5,21.2,17.9,1006.7,1011.8
202508192347,167,26.4,92.0,25.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1011.4,1012.4
202508192347,168,27.1,88.7,25.1,26.0,27.0,27.8,28.9,29.5,29.5,29.9,26.9,24.9,20.5,17.7,1004.8,1012.3
202508192347,169,26.7,92.5,25.4,27.0,25.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1002.6,1011.1
202508192347,170,26.4,91.8,25.0,26.8,26.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1008.1,1012.1
202508192347,172,26.3,92.3,25.0,25.2,26.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1005.4,1011.4
202508192347,174,23.7,93.8,22.6,23.1,24.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,992.5,1011.3
202508192347,175,23.7,99.9,23.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,959.4,1012.9
202508192347,177,26.1,88.9,24.1,24.9,25.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1007.2,1010.4
202508192347,181,25.0,90.5,23.3,23.0,26.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1007.9,1011.7
202508192347,182,27.1,86.0,24.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1008.8,1011.6
202508192347,184,28.4,73.3,23.2,26.0,26.6,31.5,32.6,32.5,31.2,30.4,28.7,27.9,25.3,19.9,1008.6,1011.0
202508192347,185,26.6,86.6,24.2,25.6,29.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1003.3,1011.4
202508192347,188,26.9,87.3,24.6,25.2,28.3,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1009.7,1012.0
202508192347,189,28.1,74.0,23.0,26.3,27.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1006.2,1012.1
