TIME,STN,LON,LAT,S,VIS1,VIS10,WW1,WW15
202509081153,90,128.56472778,38.25085068,1,50000,-999,0,-999
202509081153,95,127.30419922,38.14786911,2,50000,-999,0,-999
202509081153,98,127.06069946,37.90187836,2,34699,-999,0,-999
202509081153,99,126.76647949,37.88589096,2,40045,-999,0,-999
202509081153,100,128.71833801,37.67713165,2,50000,-999,0,-999
202509081153,101,127.73570251,37.90261841,2,50000,-999,0,-999
202509081153,102,124.71237183,37.97396088,2,39447,-999,0,-999
202509081153,104,128.85534668,37.80456161,1,50000,-999,0,-999
202509081153,105,128.89099121,37.75146866,2,50000,-999,0,-999
202509081153,106,129.12432861,37.50709152,2,50000,-999,0,-999
202509081153,108,126.96579742,37.57141876,1,29683,-999,0,-999
202509081153,112,126.62490082,37.47771835,1,27140,-999,0,-999
202509081153,114,127.94658661,37.33749008,1,50000,-999,0,-999
202509081153,115,130.89863586,37.48128891,1,50000,-999,0,-999
202509081153,119,126.98300171,37.25746155,2,45000,-999,-999,-999
202509081153,121,128.45742798,37.18125916,1,45880,-999,0,-999
202509081153,127,127.95249939,36.97045135,2,48307,-999,0,-999
202509081153,129,126.49389648,36.77658081,2,27016,-999,-999,-999
202509081153,131,127.44065857,36.63924026,2,17525,-999,0,-999
202509081153,133,127.37210083,36.37199020,1,41850,-999,0,-999
202509081153,135,127.99458313,36.22024918,2,23476,-999,0,-999
202509081153,136,128.70733643,36.57292938,2,50000,-999,0,-999
202509081153,137,128.15740967,36.40837097,2,44878,-999,0,-999
202509081153,138,129.38002014,36.03200912,2,50000,-999,0,-999
202509081153,143,128.65295410,35.87797165,2,42013,-999,0,-999
202509081153,146,127.11717987,35.84091949,2,50000,-999,0,-999
202509081153,155,128.57281494,35.17018890,1,50000,-999,0,-999
202509081153,156,126.89156342,35.17293930,1,46234,-999,0,-999
202509081153,159,129.03202820,35.10467911,1,18686,-999,0,-999
202509081153,165,126.38150787,34.81732178,1,11120,-999,61,-999
202509081153,168,127.74063110,34.73928833,2,31451,-999,0,-999
202509081153,169,125.45104980,34.68719101,2,2810,-999,62,-999
202509081153,170,126.70182037,34.39590073,1,20235,-999,61,-999
202509081153,172,126.59899902,35.34823990,2,49730,-999,0,-999
202509081153,174,127.36940002,35.02040100,1,40079,-999,0,-999
202509081153,177,126.68772125,36.65758896,2,33030,-999,0,-999
202509081153,184,126.52969360,33.51411057,1,40620,-999,0,-999
202509081153,189,126.56529999,33.24615860,1,50000,-999,0,-999
202509081153,192,128.04003906,35.16378021,2,50000,-999,0,-999
202509081153,201,126.44634247,37.70738983,1,50000,-999,0,-999
202509081153,202,127.49446106,37.48862839,1,50000,-999,0,-999
202509081153,203,127.48420715,37.26398849,1,27006,-999,0,-999
202509081153,211,128.16714478,38.05986023,2,50000,-999,0,-999
202509081153,212,127.88043213,37.68360138,2,22726,-999,0,-999
202509081153,216,128.98928833,37.17037964,1,50000,-999,0,-999
202509081153,217,128.64590454,37.38148880,2,25275,-999,0,-999
202509081153,221,128.19433594,37.15927887,1,32436,-999,0,-999
202509081153,226,127.73415375,36.48760986,1,13453,-999,0,-999
202509081153,232,127.29282379,36.76216888,1,28826,-999,0,-999
202509081153,235,126.55744171,36.32723999,1,8630,-999,0,-999
