CODE,ADDRESS,DATE,LAT,LON,h0,h3,h6,h9,h12,h15,h18,h21,h24,h27,h30,h33,h36,h39,h42,h45,h48,h51,h54,h57,h60,h63,h66,h69,h72,h75
1100000000,서울특별시,2025090412,37.5635694444444,126.980008333333,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111000000,서울특별시 종로구,2025090412,37.5703777777777,126.981641666666,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111051500,서울특별시 종로구 청운효자동,2025090412,37.5841367,126.9706519,5,3,0,0,0,0,1,5,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111053000,서울특별시 종로구 사직동,2025090412,37.5732694444444,126.970955555555,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111054000,서울특별시 종로구 삼청동,2025090412,37.582425,126.983977777777,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111055000,서울특별시 종로구 부암동,2025090412,37.5898555555555,126.966444444444,5,3,0,0,0,0,1,5,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111056000,서울특별시 종로구 평창동,2025090412,37.6025222222222,126.968877777777,5,3,0,0,0,0,1,5,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111057000,서울특별시 종로구 무악동,2025090412,37.5715388888888,126.961208333333,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111058000,서울특별시 종로구 교남동,2025090412,37.569075,126.9641,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111060000,서울특별시 종로구 가회동,2025090412,37.5772527777777,126.986911111111,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111061500,서울특별시 종로구 종로1.2.3.4가동,2025090412,37.5678861111111,126.991066666666,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111063000,서울특별시 종로구 종로5.6가동,2025090412,37.5692111111111,127.007155555555,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111064000,서울특별시 종로구 이화동,2025090412,37.5742138888888,127.006397222222,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111065000,서울특별시 종로구 혜화동,2025090412,37.5839888888888,127.002622222222,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
