lon,lat,wl,attwl,obsnm,rf,kind,dataType,ymdhm,obscd,fbscd,wrnwl,almwl,srswl,fcodvcd,sttnm,sumrf24,wl10,cnfno,sfw,cnfdt,appsdt,cnfotf,cmt,cnfseq,fvanm,addr,seq,media_nm,hls_url,rsobscd,observationCount,totalcnt,fldcnt0,fldcnt1,fldcnt2,fldcnt3,fldcnt4,fldcnt5,cnt,itm,itmid,ansid,rsrt,crwl,crewl,dwl,msg,act,fvacnt,fvacd,ospilwl,rwl,iqty,tdqty,spnds,anctm,spnefttm,spnttl,spnzn,pspeftds,cctvurl,cctvhurl,cctvtype,media_id,media_type,proto_type,media_status,hls_status,fw,floodCode,floodName,floodSubName,ldUrl,hdUrl,addtcd,data,note
128.2777777777778,35.72916666666667,2.19,,고령군(회천교),,,flood,2025-09-07 14:30,2013650,,3.60,4.20,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.86583333333333,37.684999999999995,0.42,,고양시(원당교),,,flood,2025-09-07 14:30,1019667,,2.50,3.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.01722222222224,37.09583333333334,0.99,,태백시(문화교),,,flood,2025-09-07 14:30,2001610,,4.20,5.10,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.86,36.60638888888889,0.72,,예산군(서계양교),,,flood,2025-09-07 14:30,3101613,,3.00,4.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.15861111111113,36.42805555555555,1.39,,상주시(후천교),,,flood,2025-09-07 14:30,2006665,,3.30,3.90,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.285,36.446666666666665,0.33,,세종시(도암교),,,flood,2025-09-07 14:30,3012607,,2.50,3.30,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.62333333333332,35.472500000000004,2.17,,고창군(부정교),,,flood,2025-09-07 14:30,5301660,,4.00,4.80,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.15,35.49638888888889,2.50,,임실군(일중리),,,flood,2025-09-07 14:30,4002640,,4.50,5.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.07194444444444,38.087500000000006,0.98,,연천군(차탄교),,,flood,2025-09-07 14:30,1022662,,4.50,6.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.33555555555557,36.93111111111111,0.16,,단양군(단양1교),,,flood,2025-09-07 14:30,1003645,,4.00,5.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.72916666666666,37.473333333333336,1.32,,정선군(제1여량교),,,flood,2025-09-07 14:30,1001626,,5.20,6.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.78361111111111,35.05916666666666,0.77,,하동군(대석교),,,flood,2025-09-07 14:30,4009670,,4.00,5.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.52833333333334,35.01861111111111,1.95,,함평군(학야교),,,flood,2025-09-07 14:30,5006630,,4.80,5.90,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.37333333333333,36.402499999999996,1.35,,영덕군(영덕대교),,,flood,2025-09-07 14:30,2402630,,3.70,4.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.45416666666667,35.16555555555556,1.86,,구례군(구례교),,,flood,2025-09-07 14:30,4009610,,7.00,8.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.96833333333333,35.978611111111114,1.08,,영천시(단포교),,,flood,2025-09-07 14:30,2012625,,2.80,3.40,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.12472222222222,36.467222222222226,1.12,,공주시(금강교),,,flood,2025-09-07 14:30,3012620,,9.00,11.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.39416666666665,36.000277777777775,5.25,,칠곡군(호국의다리),,,flood,2025-09-07 14:30,2011650,,10.00,11.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.82083333333333,36.68416666666666,0.82,,예산군(예산대교),,,flood,2025-09-07 14:30,3101625,,4.00,5.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.13055555555556,36.119166666666665,1.41,,김천시(김천교),,,flood,2025-09-07 14:30,2010650,,4.50,5.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.35055555555554,36.62305555555555,1.79,,청주시(미호강교),,,flood,2025-09-07 14:30,3011665,,7.00,8.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.47555555555556,36.71416666666667,1.34,,청주시(팔결교),,,flood,2025-09-07 14:30,3011635,,5.30,6.30,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.08555555555557,36.59722222222222,2.82,,영양군(청암교),,,flood,2025-09-07 14:30,2002634,,5.90,6.90,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
