#START7777
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202508100029    90  305.0    0.1  122.0    0.3   21.0    0.4   22.2    0.0    0.0    0.0    0.0    0.0   93.9 1000.5 1002.5   21.2
202508100029    92  280.0    3.7  290.0    4.4  260.0    3.3   23.4  -99.7    0.0    0.0    0.0    0.0   68.0  994.9 1002.4   17.2
202508100029    93    4.1    0.1    0.0    0.3   11.6    0.2   20.0    0.0    0.0    0.0    0.0    0.0   94.2  993.2 1004.3   19.0
202508100029    95  278.6    0.5  295.5    0.6  142.5    0.4   19.3    0.0    0.0    0.0    0.0    0.0   94.0  986.5 1004.4   18.3
202508100029    96  112.4    4.2  106.7    5.8  117.7    4.5   21.9    0.0    0.0    0.0    0.0    0.0   94.7  992.3 1003.6   21.0
202508100029    98  358.2    0.4   11.1    0.6    4.6    0.3   19.6    0.0    0.0    0.0    0.0    0.0   96.5  990.2 1003.5   19.0
202508100029    99  104.4    0.1   87.1    0.2  104.1    0.2   20.0    0.0    0.0    0.0    0.0    0.0   99.8 1000.4 1003.9   20.0
202508100029   100  287.2    0.0  292.7    0.0  276.2    0.1   15.0    0.0    0.0    0.0    0.0    0.0   96.3  919.2 1006.1   14.4
202508100029   101  278.3    0.5  313.0    0.9  289.5    0.7   19.9    0.0    0.0    0.0    0.0    0.0   90.8  994.9 1003.7   18.4
202508100029   102   32.2    1.8   30.8    2.5   32.8    1.7   21.9    0.0    0.0    0.0    0.0    0.0   82.4  998.6 1002.7   18.8
202508100029   104  151.6    1.3  160.9    1.3  198.8    0.9   21.3    0.0    0.0    0.0    0.0    0.0   80.5  993.2 1001.8   17.8
202508100029   105  241.3    2.1  267.8    2.8  247.9    2.7   23.2    0.0    0.0    0.0    0.0    0.0   65.0  999.7 1002.8   16.3
202508100029   106  202.0    2.2  216.0    2.8  203.5    1.9   20.3    0.0    0.0    0.0    0.0    0.0   78.5  998.3 1003.0   16.4
202508100029   108   30.2    1.4   21.9    2.0   35.7    1.8   22.9    0.0    0.0    0.0    0.0    0.0   82.4  992.4 1002.2   19.7
202508100029   110  350.0    1.1  350.0    1.2  340.0    1.2   21.6  -99.7    0.0    0.0    0.0    0.0  100.0 1001.3 1003.4   21.6
202508100029   112   54.3    2.2   27.8    2.2   28.2    1.5   23.8    0.0    0.0    0.0    0.0    0.0   76.1  995.0 1002.8   19.3
202508100029   113   40.0    2.6   40.0    3.0   30.0    2.7   23.7  -99.7    0.0    0.0    0.0    0.0   89.0 1002.5 1003.3   21.8
202508100029   114   52.9    0.7   33.0    1.2   51.0    0.8   20.3    0.0    0.0    0.0    0.0    0.0   78.2  985.8 1003.0   16.4
202508100029   115  230.5    3.9  230.7    4.8  228.9    4.1   23.9    0.0    0.0    0.0    0.1    0.0   86.3  978.0 1002.9   21.5
