#START7777
# YYMMDDHHMI   STN     TA     HM     TD     TG     TS TE0.05  TE0.1  TE0.2  TE0.3  TE0.5  TE1.0  TE1.5  TE3.0  TE5.0     PA     PS
#        KST    ID      C      %      C      C      C      C      C      C      C      C      C      C      C      C    hPa    hPa
202508100113    90   22.1   93.6   21.0   21.3   22.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.1 1002.1
202508100113    92   23.1   69.0   17.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  994.5 1002.1
202508100113    93   19.7   94.4   18.8   18.6   21.7   24.1   26.3   27.6   28.2   28.6   27.8   25.7   21.0   18.1  992.7 1003.8
202508100113    95   18.6   98.3   18.3   18.7   21.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  986.1 1004.1
202508100113    96   22.1   98.1   21.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.1 1003.4
202508100113    98   19.2   99.9   19.2   17.8   20.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  989.8 1003.1
202508100113    99   19.5   99.2   19.4   19.3   22.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.0 1003.5
202508100113   100   14.3   97.1   13.8   13.1   16.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  918.8 1005.9
202508100113   101   19.6   91.5   18.2   18.0   22.1   25.4   26.5   27.3   28.4   28.5   26.4   24.1   19.6   16.0  994.4 1003.2
202508100113   102   20.6   92.6   19.4   19.2   21.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.4 1002.6
202508100113   104   20.5   80.9   17.1   17.8   21.0   24.9   25.9   27.2   27.4   27.1   25.8   23.9   18.4   14.6  992.8 1001.5
202508100113   105   23.0   63.4   15.7   19.3   20.0   24.0   24.9   26.1   27.4   27.4   26.9   24.6   19.0   16.4  999.4 1002.5
