TIME,STN,TA,HM,TD,TG,TS,TE0.05,TE0.1,TE0.2,TE0.3,TE0.5,TE1.0,TE1.5,TE3.0,TE5.0,PA,PS
202508102157,90,23.6,91.5,22.1,23.1,24.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1002.5,1004.5
202508102157,92,24.0,86.0,21.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,996.8,1004.4
202508102157,93,25.4,82.1,22.1,23.6,27.0,29.0,30.2,29.8,29.3,28.6,27.7,25.7,21.1,18.2,992.9,1003.7
202508102157,95,24.3,89.5,22.5,22.8,25.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,986.3,1003.9
202508102157,96,24.4,92.2,23.1,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,993.1,1004.3
202508102157,98,24.8,88.7,22.8,23.5,25.5,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,990.1,1003.2
202508102157,99,23.6,96.7,23.0,23.1,25.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1000.4,1003.9
202508102157,100,17.2,95.8,16.5,16.5,19.2,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,920.5,1006.8
202508102157,101,25.4,76.7,21.0,23.3,27.3,30.4,30.6,30.5,29.4,28.1,26.4,24.2,19.7,16.1,994.4,1003.0
202508102157,102,22.7,90.2,21.0,21.2,24.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,999.2,1003.3
202508102157,104,22.7,91.4,21.2,20.9,24.1,28.2,28.6,28.6,28.0,27.5,25.7,23.9,18.4,14.6,994.7,1003.3
202508102157,105,24.4,75.5,19.8,21.6,24.0,26.6,26.8,27.7,28.2,27.8,26.9,24.6,19.0,16.4,1001.1,1004.2
202508102157,106,23.2,82.4,20.0,20.3,22.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1000.1,1004.7
202508102157,108,28.0,73.8,22.9,23.7,25.8,27.1,27.7,27.0,26.3,27.3,25.9,25.0,19.9,16.7,992.6,1002.2
202508102157,110,25.4,100.0,25.4,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1001.7,1003.8
202508102157,112,26.5,85.0,23.8,23.8,26.9,28.0,27.8,27.9,27.2,26.3,25.5,23.5,19.3,15.3,995.6,1003.4
202508102157,113,25.2,91.0,23.6,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,1003.1,1003.9
202508102157,114,26.7,68.4,20.4,23.3,27.0,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,985.5,1002.3
202508102157,115,23.8,78.2,19.8,18.6,21.5,25.6,26.6,27.1,26.0,25.0,22.7,21.2,16.4,14.0,979.5,1004.4
202508102157,116,23.4,85.6,20.9,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,935.0,1003.7
202508102157,119,24.9,83.4,21.9,23.5,26.7,28.7,28.8,28.2,27.7,27.3,25.6,23.7,18.5,14.7,998.9,1003.4
202508102157,121,23.9,80.4,20.3,21.4,25.8,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,-99.7,977.0,1004.1
