TIME,STN,WD1,WS1,WDS,WSS,WD10,WS10,TA,RE,RN-15m,RN-60m,RN-12H,RN-DAY,HM,PA,PS,TD
202508161843,90,115.0,0.6,128.0,1.1,123.0,1.6,29.7,0.0,0.0,0.0,0.0,0.0,67.2,1008.2,1010.2,23.0
202508161843,92,290.0,2.2,310.0,3.6,250.0,0.9,30.4,-99.7,0.0,0.0,0.0,0.0,58.0,1003.1,1010.5,21.2
202508161843,93,196.1,2.0,180.0,2.4,190.6,1.9,30.3,0.0,0.0,0.0,0.0,0.0,63.1,1001.1,1011.8,22.5
202508161843,95,202.5,2.0,219.5,3.6,209.6,2.5,28.6,0.0,0.0,0.0,0.9,0.9,69.3,994.9,1012.4,22.4
202508161843,96,217.1,4.5,224.0,5.7,219.0,4.2,27.2,0.0,0.0,0.0,0.0,0.0,86.6,1001.3,1012.5,24.8
202508161843,98,253.1,4.0,244.8,5.1,243.5,3.1,28.0,0.0,0.0,0.0,0.0,0.0,74.1,999.0,1012.0,23.0
202508161843,99,340.7,0.5,0.0,0.7,277.5,1.1,27.7,0.0,0.0,0.0,0.0,0.0,80.8,1009.5,1013.0,24.1
202508161843,100,280.1,3.0,278.6,4.5,286.0,3.7,24.7,0.0,0.0,0.0,0.0,0.0,74.2,928.1,1012.6,19.8
202508161843,101,191.4,2.3,193.7,3.9,216.3,1.8,30.3,0.0,0.0,0.0,0.0,0.0,59.4,1002.5,1011.0,21.5
202508161843,102,186.9,3.7,177.3,4.3,194.7,3.0,26.6,0.0,0.0,0.0,0.0,0.0,86.8,1006.3,1010.4,24.2
202508161843,104,202.2,2.0,236.5,2.9,235.1,2.7,30.9,0.0,0.0,0.0,0.0,0.0,60.2,1001.3,1009.7,22.3
202508161843,105,263.1,3.3,280.5,4.8,240.5,3.2,33.1,0.0,0.0,0.0,0.0,0.0,46.9,1007.7,1010.7,20.3
202508161843,106,130.0,1.2,192.0,2.1,115.2,1.5,28.1,0.0,0.0,0.0,0.0,0.0,67.0,1007.0,1011.6,21.4
