TIME,STN,LON,LAT,S,VIS1,VIS10,WW1,WW15
202508192347,90,128.56472778,38.25085068,1,50000,-999,53,-999
202508192347,95,127.30419922,38.14786911,2,47024,-999,0,-999
202508192347,98,127.06069946,37.90187836,2,50000,-999,0,-999
202508192347,99,126.76647949,37.88589096,2,15516,-999,0,-999
202508192347,100,128.71833801,37.67713165,2,50000,-999,0,-999
202508192347,101,127.73570251,37.90261841,2,50000,-999,0,-999
202508192347,102,124.71237183,37.97396088,2,24747,-999,0,-999
202508192347,104,128.85534668,37.80456161,1,50000,-999,0,-999
202508192347,105,128.89099121,37.75146866,2,50000,-999,0,-999
202508192347,106,129.12432861,37.50709152,2,50000,-999,0,-999
202508192347,108,126.96579742,37.57141876,1,31208,-999,0,-999
202508192347,112,126.62490082,37.47771835,1,48170,-999,0,-999
202508192347,114,127.94658661,37.33749008,1,50000,-999,0,-999
202508192347,115,130.89863586,37.48128891,1,34530,-999,0,-999
202508192347,119,126.98300171,37.25746155,2,50000,-999,-999,-999
202508192347,121,128.45742798,37.18125916,1,16100,-999,0,-999
202508192347,127,127.95249939,36.97045135,2,29349,-999,0,-999
202508192347,129,126.49389648,36.77658081,2,15285,-999,-999,-999
202508192347,131,127.44065857,36.63924026,2,50000,-999,0,-999
202508192347,133,127.37210083,36.37199020,1,50000,-999,0,-999
202508192347,135,127.99458313,36.22024918,2,50000,-999,0,-999
202508192347,136,128.70733643,36.57292938,2,50000,-999,0,-999
202508192347,137,128.15740967,36.40837097,2,50000,-999,0,-999
202508192347,138,129.38002014,36.03200912,2,21355,-999,0,-999
202508192347,143,128.65295410,35.87797165,2,25784,-999,0,-999
202508192347,146,127.11717987,35.84091949,2,48625,-999,0,-999
202508192347,155,128.57281494,35.17018890,1,29010,-999,0,-999
202508192347,156,126.89156342,35.17293930,1,25793,-999,0,-999
202508192347,159,129.03202820,35.10467911,1,20681,-999,0,-999
202508192347,165,126.38150787,34.81732178,1,23080,-999,0,-999
202508192347,168,127.74063110,34.73928833,2,17082,-999,0,-999
202508192347,169,125.45104980,34.68719101,2,47916,-999,0,-999
202508192347,170,126.70182037,34.39590073,1,5456,-999,10,-999
202508192347,172,126.59899902,35.34823990,2,32210,-999,0,-999
202508192347,174,127.36940002,35.02040100,1,5545,-999,10,-999
202508192347,177,126.68772125,36.65758896,2,24940,-999,0,-999
202508192347,184,126.52969360,33.51411057,1,45210,-999,0,-999
202508192347,189,126.56529999,33.24615860,1,50000,-999,0,-999
202508192347,192,128.04003906,35.16378021,2,18730,-999,0,-999
202508192347,201,126.44634247,37.70738983,1,32254,-999,0,-999
202508192347,202,127.49446106,37.48862839,1,43208,-999,0,-999
202508192347,203,127.48420715,37.26398849,1,35380,-999,0,-999
202508192347,211,128.16714478,38.05986023,2,50000,-999,0,-999
202508192347,212,127.88043213,37.68360138,2,50000,-999,0,-999
202508192347,216,128.98928833,37.17037964,1,50000,-999,0,-999
202508192347,217,128.64590454,37.38148880,2,29882,-999,0,-999
202508192347,221,128.19433594,37.15927887,1,23313,-999,0,-999
202508192347,226,127.73415375,36.48760986,1,43448,-999,0,-999
202508192347,235,126.55744171,36.32723999,1,44455,-999,0,-999
202508192347,236,126.92079163,36.27241898,1,26833,-999,0,-999
202508192347,238,127.48175049,36.10562897,1,46634,-999,0,-999
202508192347,239,127.24437714,36.48522186,2,14900,-999,0,-999
202508192347,243,126.71656799,35.72961044,1,50000,-999,0,-999
202508192347,244,127.28556061,35.61203003,1,42988,-999,0,-999
202508192347,245,126.83904266,35.56336975,1,42674,-999,0,-999
202508192347,247,127.39652252,35.42129898,1,21387,-999,0,-999
202508192347,248,127.52030945,35.65695953,1,16428,-999,0,-999
202508192347,251,126.69699860,35.42660904,2,49999,-999,0,-999
202508192347,252,126.47783661,35.28366089,2,20950,-999,0,-999
202508192347,253,128.89074707,35.22980881,2,14027,-999,0,-999
202508192347,254,127.12860107,35.37131119,2,50000,-999,0,-999
202508192347,255,128.67260742,35.22655106,2,21480,-999,0,-999
202508192347,258,127.21225739,34.76335144,2,12959,-999,-999,-999
202508192347,259,126.78408051,34.64456940,2,10615,-999,0,-999
202508192347,260,126.91950989,34.68886185,1,6964,-999,10,-999
202508192347,261,126.56906891,34.55374908,1,11140,-999,0,-999
202508192347,262,127.27571869,34.61825943,1,7264,-999,10,-999
202508192347,263,128.28811646,35.32257843,2,15191,-999,0,-999
202508192347,264,127.74537659,35.51137924,2,19031,-999,0,-999
202508192347,266,127.69139862,34.94340134,2,12559,-999,0,-999
202508192347,268,126.25846100,34.47296143,2,10960,-999,0,-999
202508192347,269,126.03050232,35.34690094,2,20000,-999,0,-999
202508192347,271,128.91448975,36.94361115,1,21105,-999,0,-999
202508192347,272,128.51687622,36.87182999,1,35823,-999,0,-999
202508192347,273,128.14878845,36.62726974,1,33940,-999,0,-999
202508192347,276,129.04005432,36.43510056,2,21945,-999,0,-999
202508192347,277,129.40925598,36.53337097,1,50000,-999,0,-999
202508192347,278,128.68864441,36.35609818,1,37891,-999,0,-999
202508192347,279,128.32055664,36.13055038,1,50000,-999,0,-999
202508192347,281,128.95140076,35.97742081,1,25003,-999,0,-999
202508192347,283,129.20123291,35.81747055,2,15721,-999,0,-999
202508192347,284,127.90989685,35.66738892,1,21410,-999,0,-999
202508192347,285,128.16993713,35.56504822,1,20903,-999,0,-999
202508192347,288,128.74412537,35.49147034,1,27430,-999,0,-999
202508192347,289,127.87909698,35.41299820,1,15700,-999,0,-999
202508192347,294,128.60458374,34.88817978,1,21581,-999,0,-999
202508192347,295,127.92640686,34.81661987,1,40029,-999,0,-999
202508192347,301,126.11637878,35.09511185,2,28820,-999,0,-999
202508192347,303,125.09722137,34.07249832,2,50000,-999,0,-999
202508192347,309,126.68659973,37.94639969,2,8739,-999,10,-999
202508192347,319,130.87083435,37.53725815,2,38339,-999,0,-999
202508192347,328,126.40599823,33.24940109,2,33807,-999,0,-999
202508192347,400,127.08165741,37.49819946,2,50000,-999,0,-999
202508192347,410,126.91745758,37.49330139,2,37966,-999,0,-999
202508192347,418,126.93904114,37.52489090,2,50000,-999,0,-999
202508192347,494,127.24063873,36.53152084,2,48150,-999,0,-999
202508192347,497,128.85147095,37.57516098,2,50000,-999,0,-999
202508192347,501,125.69818878,37.65890884,2,13515,-999,0,-999
202508192347,504,127.18073273,37.87034988,2,45620,-999,0,-999
202508192347,513,126.01426697,37.06550980,2,28320,-999,0,-999
202508192347,515,126.77388763,37.08452988,2,30822,-999,0,-999
202508192347,516,127.25016785,37.00371170,1,14938,-999,0,-999
202508192347,517,128.47523499,38.38510132,2,50000,-999,0,-999
202508192347,518,128.12109375,38.26958084,2,50000,-999,0,-999
202508192347,519,127.51940918,38.07545090,2,49973,-999,0,-999
202508192347,522,127.98380280,37.78712082,2,25550,-999,0,-999
202508192347,523,128.82139587,37.89847946,2,42740,-999,0,-999
202508192347,525,128.37724304,37.61233902,2,37251,-999,0,-999
202508192347,526,128.39468384,37.37747955,2,26448,-999,0,-999
202508192347,527,128.64126587,37.21107864,2,13599,-999,0,-999
202508192347,529,129.28584290,37.14155960,2,50000,-999,0,-999
202508192347,530,130.81179810,37.51509857,2,20000,-999,0,-999
202508192347,531,127.55219269,37.89807129,2,32120,-999,0,-999
202508192347,532,127.07348633,37.73476028,2,25255,-999,0,-999
202508192347,534,127.61058044,37.12099838,2,8975,-999,4,-999
202508192347,535,128.18264771,37.71701050,2,17775,-999,0,-999
202508192347,536,127.97241974,37.48759842,2,46753,-999,0,-999
202508192347,537,128.84588623,37.48323059,2,48940,-999,0,-999
202508192347,540,126.89199829,37.63729858,2,32198,-999,0,-999
202508192347,541,127.15055084,37.63404846,2,38546,-999,0,-999
202508192347,542,127.38017273,37.68413925,2,21255,-999,51,-999
202508192347,543,126.54958344,37.49900055,2,34894,-999,0,-999
202508192347,545,126.83847809,37.28102875,2,13370,-999,0,-999
202508192347,546,127.25920105,37.43529129,2,50000,-999,0,-999
202508192347,548,127.63955688,37.26882935,2,31350,-999,0,-999
202508192347,549,127.22177887,37.27011108,2,16286,-999,0,-999
202508192347,550,127.05271149,37.16930008,2,10528,-999,0,-999
202508192347,551,127.10878754,36.98768997,2,13082,-999,0,-999
202508192347,552,127.42449951,38.27219009,2,50000,-999,0,-999
202508192347,554,128.43713379,38.21438980,2,17700,-999,0,-999
202508192347,555,127.69091797,38.08356094,2,34520,-999,0,-999
202508192347,556,127.98526764,38.09798813,2,40888,-999,51,-999
202508192347,557,128.31887817,37.95365906,2,50000,-999,0,-999
202508192347,559,128.39727783,37.77804947,2,46667,-999,0,-999
202508192347,561,128.15275574,37.58219147,2,12918,-999,0,-999
202508192347,563,128.68280029,37.46355820,2,50000,-999,0,-999
202508192347,565,126.77794647,37.39154053,2,22070,-999,0,-999
202508192347,566,128.81924438,37.85155106,2,50000,-999,0,-999
202508192347,569,127.15698242,37.58224106,2,16400,-999,0,-999
202508192347,570,126.64232635,37.62319946,2,49977,-999,0,-999
202508192347,571,126.82093811,37.19525146,2,32070,-999,0,-999
202508192347,572,127.12476349,37.42092896,2,44400,-999,0,-999
202508192347,579,128.91329956,37.36684036,2,50000,-999,0,-999
202508192347,580,129.02888489,37.61344910,2,50000,-999,0,-999
202508192347,581,128.77441406,37.11663055,2,10096,-999,0,-999
202508192347,583,128.15510559,37.46463013,2,31625,-999,0,-999
202508192347,586,127.87693787,38.03208923,2,49906,-999,0,-999
202508192347,588,127.64289093,37.79066086,2,46055,-999,0,-999
202508192347,589,126.79026031,37.70235825,2,20000,-999,0,-999
202508192347,590,127.00248718,37.44028091,2,48665,-999,0,-999
202508192347,593,128.54069519,38.00730896,2,50000,-999,0,-999
202508192347,598,126.99050140,37.83118057,2,31133,-999,0,-999
202508192347,601,128.36689758,36.98551941,2,13460,-999,0,-999
202508192347,602,127.46250153,36.86339951,2,9652,-999,0,-999
202508192347,603,127.77758026,36.81612015,2,20410,-999,0,-999
202508192347,604,127.59654999,36.29993820,2,50000,-999,0,-999
202508192347,606,126.38807678,37.01060867,2,14147,-999,0,-999
202508192347,609,126.35623169,36.33795929,2,47295,-999,0,-999
202508192347,611,127.28056335,36.56666946,2,12771,-999,0,-999
202508192347,612,127.13645935,36.48284149,2,33910,-999,0,-999
202508192347,614,126.70410919,36.06248093,2,17735,-999,0,-999
202508192347,616,126.61739349,36.88935852,2,45260,-999,0,-999
202508192347,617,127.15609741,36.87817001,2,13781,-999,0,-999
202508192347,618,126.77906036,36.42370987,2,19300,-999,0,-999
202508192347,619,127.70240784,36.92296982,2,11085,-999,0,-999
202508192347,623,127.56199646,36.79560089,2,47658,-999,0,-999
202508192347,624,127.65709686,36.62435913,2,22157,-999,0,-999
202508192347,627,126.29640961,36.75851059,2,34989,-999,0,-999
202508192347,628,126.81436920,36.74213028,2,43005,-999,0,-999
202508192347,630,127.79968262,37.04565811,2,17210,-999,0,-999
202508192347,634,126.86535645,36.84577942,2,36640,-999,0,-999
202508192347,635,126.86023712,36.13190079,2,19597,-999,-997,-999
202508192347,636,127.24069977,36.31320190,2,12729,-999,0,-999
202508192347,642,127.39585876,36.29129028,2,39790,-999,0,-999
202508192347,644,127.09004211,36.13661957,2,6654,-999,4,-999
202508192347,652,127.07266998,37.98997879,2,347,-999,10,-999
202508192347,658,126.12142944,36.76829910,2,13945,-999,0,-999
202508192347,661,128.40191650,38.54251099,2,20000,-999,0,-999
202508192347,664,126.45838165,37.22468185,2,16620,-999,0,-999
202508192347,669,126.07582855,36.22919846,2,50000,-999,0,-999
202508192347,670,128.62954712,38.08874130,2,50000,-999,0,-999
202508192347,671,128.59359741,38.19091034,2,50000,-999,0,-999
202508192347,699,126.46108246,34.98377991,2,30821,-999,0,-999
202508192347,701,127.66835022,36.00167847,2,26966,-999,0,-999
202508192347,702,126.99252319,35.93806839,2,45240,-999,-999,-999
202508192347,703,127.43743134,35.76036072,2,21433,-999,0,-999
202508192347,704,126.47754669,35.62094879,2,25189,-999,0,-999
202508192347,706,126.97265625,35.31021118,2,21965,-999,0,-999
202508192347,708,126.74523926,35.12886047,2,49964,-999,0,-999
202508192347,709,127.49355316,35.20808029,2,12569,-999,0,-999
202508192347,710,126.74397278,35.02503967,2,25798,-999,0,-999
202508192347,711,126.98979950,34.89710999,2,9550,-999,4,-999
202508192347,712,127.51927185,34.90351105,2,7759,-999,10,-999
202508192347,718,126.03646088,34.33303070,2,8685,-999,4,-999
202508192347,719,126.39769745,35.80879974,2,50000,-999,0,-999
202508192347,723,127.30898285,34.02791977,2,50000,-999,0,-999
202508192347,724,126.30156708,33.95782852,2,10558,-999,0,-999
202508192347,727,126.39292908,33.40985870,2,19755,-999,0,-999
202508192347,730,126.76110077,35.27939987,2,26765,-999,0,-999
202508192347,731,126.68634033,34.81666183,2,9322,-999,0,-999
202508192347,732,127.09208679,34.76192093,2,7540,-999,4,-999
