#START7777
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202508092233    90  247.0    0.9  267.0    1.2  224.3    1.0   23.4    0.0    0.0    0.0    0.0    0.0   94.5 1000.9 1002.9   22.5
202508092233    92  270.0    3.2  270.0    3.7  260.0    3.3   21.9  -99.7    0.0    0.0    0.0    0.0   82.0  995.3 1002.9   18.7
202508092233    93   14.6    0.2   25.2    0.5   15.9    0.0   20.9    0.0    0.0    0.0    0.0    0.0   93.0  993.6 1004.6   19.7
202508092233    95  320.6    0.2  320.8    0.2  337.1    0.1   19.7    0.0    0.0    0.0    0.0    0.0   94.2  987.1 1005.0   18.7
202508092233    96   98.8    1.3  102.2    2.4   95.0    1.2   24.6    0.0    0.0    0.0    0.0    0.0   80.6  992.9 1004.1   21.0
202508092233    98  359.5    0.7  357.5    0.8   24.9    0.2   20.3    0.0    0.0    0.0    0.1    0.1   94.6  991.0 1004.3   19.4
202508092233    99  106.4    0.0  118.1    0.0   42.1    0.0   20.0    0.0    0.0    0.0    0.0    0.0   99.1 1001.1 1004.6   19.9
202508092233   100  269.3    0.9  256.1    1.4  264.6    1.2   16.7    0.0    0.0    0.0    0.0    0.0   89.8  919.6 1006.0   15.0
202508092233   101    3.0    0.0    0.0    0.0   72.3    0.0   21.1    0.0    0.0    0.0    0.0    0.0   87.1  995.3 1004.0   18.9
202508092233   102  315.0    1.1  315.2    1.2  314.5    1.2   21.7    0.0    0.0    0.0    0.0    0.1   85.3  999.0 1003.1   19.1
202508092233   104  269.1    1.3  250.1    1.8  267.8    1.1   22.4    0.0    0.0    0.0    0.0    0.0   79.7  993.6 1002.2   18.7
202508092233   105  250.4    3.0  247.5    4.0  245.1    2.6   23.7    0.0    0.0    0.0    0.0    0.0   70.1 1000.1 1003.2   17.9
202508092233   106  231.0    2.4  237.0    2.6  227.1    2.3   21.7    0.0    0.0    0.0    0.0    1.7   70.0  998.7 1003.4   16.0
202508092233   108  270.1    1.5  356.9    1.7    4.3    1.5   23.7    0.0    0.0    0.0    2.8    3.5   78.7  993.2 1002.9   19.8
202508092233   110  360.0    1.3   10.0    1.4  350.0    1.4   22.6  -99.7    0.0    0.0    1.3    1.8  100.0 1002.2 1004.2   22.6
202508092233   112  284.9    1.4  315.7    2.0  303.0    1.2   25.0    0.0    0.0    0.0    0.0    0.0   82.0  995.9 1003.7   21.7
202508092233   113   60.0    1.7   60.0    1.9   40.0    1.7   23.9  -99.7    0.0    0.0    0.0    0.0   88.0 1003.5 1004.3   21.8
202508092233   114   79.0    0.5   86.0    1.2   80.2    0.8   21.0    0.0    0.0    0.0    0.0    0.2   77.6  986.5 1003.7   16.9
202508092233   115  217.8    3.1  232.5    4.4  208.9    3.2   24.4    0.0    0.0    0.0    0.1    0.1   88.3  978.8 1003.7   22.3
202508092233   116  354.0    0.3  359.9    0.5  344.3    0.4   20.5    0.0    0.0    0.0    0.0    0.0   89.7  934.9 1004.4   18.8
202508092233   119  313.6    0.8  315.0    1.0  309.3    1.0   22.1    0.0    0.0    0.0    0.0    0.4   85.4  999.2 1003.8   19.5
202508092233   121   42.8    0.2  350.7    0.4   32.7    0.1   19.1    0.0    0.0    0.0    0.0    0.0   93.7  977.7 1005.3   18.1
202508092233   127   48.7    0.0   45.0    0.2  139.6    0.4   21.1    0.0    0.0    0.0    0.1    0.2   85.2  990.3 1003.5   18.5
202508092233   129  348.6    0.1   16.0    2.0    3.2    0.1   23.2    0.0    0.0    0.0    0.1    0.6   89.9 1000.5 1003.4   21.5
202508092233   130  252.4    1.1  263.1    2.2  249.0    1.4   22.7    0.0    0.0    0.0    0.0    0.0   78.6  997.8 1003.4   18.8
202508092233   131   46.2    2.3   42.2    2.8   43.1    2.4   23.7    0.0    0.0    0.0    0.3    0.3   76.5  996.6 1003.3   19.3
202508092233   133  268.8    0.0  266.7    0.1   30.0    0.2   23.5    0.0    0.0    0.0    0.8    0.8   93.2  995.8 1003.5   22.3
202508092233   135   39.1    0.0   36.5    0.0   38.0    0.8   21.5    0.0    0.0    0.0    1.3    1.4   94.1  975.8 1003.6   20.5
202508092233   136  332.2    0.6  323.7    0.7  323.9    0.5   21.8    0.0    0.0    0.0    2.2    2.2   94.7  988.5 1004.6   20.9
202508092233   137  265.3    0.0  194.1    0.1  324.4    0.1   22.7    0.0    0.0    0.0    1.3    1.8   93.7  992.0 1003.0   21.6
202508092233   138  253.6    3.1  247.4    4.1  252.7    2.6   23.2    0.0    0.0    0.0    3.0    3.0   86.7 1003.2 1003.7   20.9
202508092233   140  345.4    2.0  296.0    2.0   96.9    1.9   23.6    0.0    0.0    0.0    1.0    1.0   90.5 1000.1 1003.3   22.0
202508092233   143  100.6    1.3  103.6    1.4   61.9    1.3   22.5    0.0    0.0    0.0    1.1    1.1   89.7  997.7 1003.9   20.7
202508092233   146  101.2    0.9   87.0    1.3  120.1    1.2   23.5    0.0    0.0    0.0    0.2    0.2   86.6  996.2 1003.1   21.1
202508092233   151  350.0    1.6  360.0    2.0  350.0    1.4   22.2  -99.7    0.0    0.0    2.0    2.0   95.0 1003.5 1004.5   21.4
202508092233   152   14.0    2.0  319.7    2.3    1.0    1.6   21.3    0.0    0.0    0.0    2.1    2.1   93.7  994.5 1003.8   20.2
202508092233   155    2.0    0.6   19.0    0.7  268.9    0.7   22.5    0.0    0.0    0.1    5.1    5.1   96.9  999.8 1003.8   22.0
202508092233   156    6.3    2.1   19.7    2.8    6.7    2.1   21.9    1.0    1.0    3.0   19.5   19.5   94.4  994.7 1002.7   21.0
202508092233   159   53.9    2.1   94.6    2.6   43.1    2.0   22.4    0.0    0.0    0.0    5.1    5.1   90.2  995.7 1003.7   20.7
202508092233   160    9.1    1.7   19.7    2.1   16.4    1.8   19.2    0.0    0.0    0.0    4.5    4.5   99.9  -99.7  -99.9   19.2
202508092233   162   51.7    1.8   53.0    2.5   39.5    2.4   22.0    1.0    0.0    0.1  -99.9   32.3   97.0  999.6 1003.2   21.5
202508092233   163   90.0    3.1  110.0    4.1   80.0    3.6   23.1  -99.7    0.6    1.9   37.9   38.2   96.0 1000.9 1002.0   22.4
202508092233   165  150.4    5.2  146.1    5.5  138.5    4.3   23.4    1.0    0.9    2.6   37.0   37.5  100.0  996.9 1002.0   23.4
202508092233   167  250.0    0.9  270.0    1.1  270.0    1.1   22.4  -99.7    0.0    0.0   69.0   69.0   95.0 1002.8 1003.8   21.6
202508092233   168   47.2    2.5   40.2    3.0   66.8    3.1   22.5    0.0    0.1    0.3   43.6   43.6   93.3  996.1 1003.6   21.4
202508092233   169  232.0    2.3  260.0    4.3  269.4    1.7   25.3    0.0    9.2   14.2   91.2  108.6   98.5  991.5 1000.0   25.0
202508092233   170  127.0    2.6  140.0    3.1  137.8    3.1   23.4    0.0    2.6   12.4   43.9   57.4   96.0  999.0 1003.0   22.7
202508092233   172   65.2    4.2   60.8    4.7   73.9    4.4   22.0    1.0    0.6    3.1    9.6    9.6   97.0  996.0 1002.0   21.5
202508092233   174   57.1    1.0   42.6    1.5   54.7    1.1   20.7    1.0    0.0    0.5   29.5   29.5   97.2  983.6 1002.5   20.2
202508092233   175  171.8    3.7  177.3    6.1  179.7    4.3   22.5    1.0    2.0    9.5   36.0   49.0   99.9  949.8 1003.0   22.5
202508092233   177   66.4    1.2   49.9    1.2   48.0    0.4   23.3    0.0    0.0    0.0    0.4    0.5   87.3  999.3 1002.5   21.1
202508092233   181   42.7    1.4   55.4    1.7   43.7    1.7   22.3    0.0    0.0    0.0    0.2    0.3   91.7 1000.0 1003.9   20.9
202508092233   182  230.0    4.2  250.0    6.1  230.0    3.3   27.8  -99.7    0.0    0.5    1.4    4.2   87.0 1000.3 1003.1   25.4
202508092233   184   27.1    1.2   27.5    1.4   28.6    1.0   27.6    1.0    0.0    0.5    0.7    4.1   86.4 1000.1 1002.4   25.1
202508092233   185  205.0    6.7  195.6    7.6  204.1    6.4   26.7    1.0    5.1    5.5    6.3   16.8   93.3  994.9 1002.9   25.5
202508092233   188  234.7    2.9  223.5    3.5  232.5    2.2   27.7    1.0    0.0    0.4    1.7    6.0   95.6 1001.0 1003.3   26.9
202508092233   189  266.0    2.6  323.0    3.8  258.8    2.7   28.1    1.0    0.1    0.1    0.7   16.9   91.5  997.8 1003.6   26.6
202508092233   192  350.5    0.0  357.5    0.3  350.3    0.1   19.8    0.0    0.1    0.2   12.6   12.6   95.9 1000.5 1003.9   19.1
202508092233   201  350.5    0.5   11.1    0.6  343.1    0.7   20.6    0.0    0.0    0.0    0.6    0.9   94.0  999.2 1004.7   19.6
202508092233   202  160.1    0.3  157.6    0.5  184.4    0.3   22.4    0.0    0.0    0.0    0.0    0.7   90.9  999.1 1004.5   20.8
202508092233   203  356.9    1.0  357.5    1.1    1.4    0.3   20.7    0.0    0.0    0.0    0.0    0.1   95.6  996.0 1005.2   20.0
202508092233   211    0.0    0.0  135.1    0.0    0.0    0.0   20.9    0.0    0.0    0.0    0.0    0.0   92.4  980.9 1004.0   19.6
202508092233   212  167.7    0.5  242.0    0.6  167.7    0.1   21.8    0.0    0.0    0.0    0.0    0.0   91.3  988.7 1004.7   20.3
202508092233   216   49.0    0.7   60.0    0.8   52.8    0.5   15.9    0.0    0.0    0.0    0.2    0.2   93.4  925.2 1005.6   14.8
202508092233   217  194.4    1.1  166.6    1.4  201.3    1.0   18.5    0.0    0.0    0.0    0.0    0.0   92.3  969.5 1005.2   17.2
202508092233   221   14.2    0.5   19.7    0.7    8.1    0.7   18.5    0.0    0.0    0.0    0.1    0.2   98.9  974.4 1004.8   18.3
202508092233   226  322.1    0.4  323.7    0.6  326.8    0.5   21.9    0.0    0.0    0.0    0.5    0.8   97.1  984.3 1003.8   21.4
202508092233   229   38.1    4.4   39.8    5.0   48.7    4.2   23.9    0.0    0.0    0.0    1.0    1.0   75.9  990.5 1002.4   19.4
202508092233   230  176.5    1.9  178.1    2.3  178.7    2.0   19.8    0.0    0.0    0.0    0.0    0.0   86.6 1003.2 1004.6   17.5
202508092233   232  129.1    0.2  123.8    0.4  129.1    0.0   21.3    0.0    0.0    0.0    0.5    0.8   99.2  994.5 1004.2   21.2
202508092233   235   24.0    1.3   32.0    1.5   23.2    1.3   23.3    0.0    0.0    0.0    1.0    1.0   92.7 1001.2 1002.3   22.1
202508092233   236   22.8    0.3   33.7    0.7   31.7    0.5   23.0    0.0    0.0    0.0    1.2    1.2   93.4 1001.8 1003.3   21.9
202508092233   238   71.2    1.3   84.4    1.5   94.9    0.8   23.2    0.0    0.0    0.0    1.6    1.6   99.8  983.6 1003.2   23.2
202508092233   239   86.6    0.0    0.0    0.0   78.7    0.6   22.9    0.0    0.0    0.0    0.4    0.6   92.0  993.1 1003.3   21.5
202508092233   243  130.4    1.5  123.8    2.6  118.8    1.5   23.7    0.0    0.0    0.0    0.2    0.2   86.7 1001.4 1002.8   21.4
202508092233   244  176.7    0.7  177.3    1.0  168.2    0.7   21.5    0.0    0.0    0.0    3.9    3.9   96.7  974.9 1002.9   21.0
202508092233   245   67.0    1.7   95.0    2.9   84.7    1.6   22.7    0.0    0.0    0.0    0.6    0.6   92.7  994.7 1002.5   21.5
202508092233   247   66.9    0.3  123.8    0.4   70.0    0.6   21.9    0.0    0.0    0.0   10.5   10.5   99.9  988.5 1003.7   21.9
202508092233   248  348.4    0.1  349.0    0.4  319.6    0.1   20.7    0.0    0.0    0.0    3.4    3.4   99.9  958.1 1003.9   20.7
202508092233   251   12.4    0.7  349.0    1.2   45.6    1.3   22.0    0.0    0.2    0.2    3.6    3.6   88.3  995.1 1001.8   20.0
202508092233   252  151.4    0.5  151.8    0.8  121.8    0.6   21.8    1.0    2.6    5.4   19.7   19.7   90.3  998.1 1002.4   20.1
202508092233   253  336.4    0.8  334.8    1.3  335.4    0.6   22.3    0.0    0.0    0.1    2.9    2.9   99.4  998.2 1004.5   22.2
202508092233   254  165.2    1.2  179.4    1.5  157.0    1.2   21.9    1.0    0.0    0.0   10.4   10.4   94.8  988.7 1003.5   21.0
202508092233   255  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9
202508092233   257  202.2    0.0  215.3    0.1  162.9    0.6   22.1    0.0    0.0    0.0    3.2    3.2   99.6 1002.4 1003.1   22.0
202508092233   258   93.5    1.4  113.0    1.6   94.3    1.4   22.4    0.0    0.0    0.1   61.2   62.7   99.4 1003.6 1003.8   22.3
202508092233   259   88.2    0.8  105.8    1.6   73.1    0.9   23.1    1.0    0.1    0.7   66.3   73.2   99.0 1001.2 1003.0   22.9
202508092233   260  162.8    2.1  172.0    2.8  180.2    1.6   23.2    0.0    0.1    0.7   64.6   68.5   98.9  997.8 1002.8   23.0
202508092233   261  343.1    1.4  344.0    2.2  350.6    1.5   23.8    1.0    1.4    2.5   35.9   47.0   99.0 1000.8 1002.7   23.6
202508092233   262  351.0    0.2   34.0    0.4   66.2    0.4   23.3    0.0    0.0    0.2   40.2   41.8   95.8  997.3 1003.2   22.6
202508092233   263  317.7    0.8  317.9    0.9  304.8    0.5   21.4    0.0    0.0    0.0   18.0   18.0   98.0 1002.2 1003.8   21.1
202508092233   264  256.4    0.1  271.7    0.1  259.7    0.5   22.1    0.0    0.0    0.0    8.4    8.9   94.4  986.6 1003.9   21.2
202508092233   266   68.0    1.3   83.5    2.1   68.3    0.8   21.7    0.0    0.1    0.4   45.4   45.4   96.1  993.9 1004.0   21.1
202508092233   268  177.6    4.1  179.7    5.4  166.2    1.9   24.5    1.0    1.7    9.8   37.3   46.2   99.9 1000.3 1001.4   24.5
202508092233   269  301.8    0.9   23.7    3.6  288.3    1.8   22.6    1.0    4.5    8.9   16.0   16.2   99.1  998.7 1001.9   22.5
202508092233   271   14.7    1.1   19.7    1.5   45.1    0.7   18.1    0.0    0.0    0.0    0.3    0.6   93.4  968.0 1005.2   17.0
202508092233   272  324.4    2.1  326.5    2.3  332.8    1.8   19.7    0.0    0.0    0.0    0.6    0.8   99.7  980.2 1004.4   19.7
202508092233   273  315.0    1.0  320.8    1.5  309.4    1.0   20.2    0.0    0.0    0.0    1.0    1.4   96.1  983.8 1003.6   19.6
202508092233   276  239.0    0.2  236.3    0.2  215.6    0.1   22.1    0.0    0.0    0.0    1.5    1.6   99.9  979.9 1003.6   22.1
